label,image_intensity,area,integrated_density
13,"[[0.1509951  0.22614145 0.17121184 0.15034169 0.17356639 0.
  0.         0.         0.         0.        ]
 [0.25298452 0.15914743 0.21766892 0.12529883 0.13130075 0.14604808
  0.1427407  0.         0.         0.        ]
 [0.1906826  0.18064985 0.19316328 0.15812795 0.1296678  0.18358923
  0.18092059 0.14279406 0.         0.        ]
 [0.2330056  0.22576745 0.20604186 0.17178504 0.17473966 0.16941653
  0.25958487 0.1253237  0.14860074 0.        ]
 [0.20905294 0.22684588 0.16789488 0.19119395 0.20140816 0.13825533
  0.20263289 0.18243816 0.19718115 0.        ]
 [0.23384807 0.22262101 0.16453381 0.22703993 0.19727735 0.21295848
  0.21309857 0.21596074 0.20636097 0.        ]
 [0.27472082 0.25065765 0.24280998 0.1626327  0.15935716 0.14210568
  0.12871484 0.19611563 0.20388494 0.11626686]
 [0.20584488 0.19922571 0.23191509 0.22617035 0.21972382 0.24345975
  0.18370534 0.19908664 0.16309416 0.13148858]
 [0.263023   0.27316588 0.21173047 0.2339869  0.22082122 0.18186739
  0.17672928 0.16881904 0.1680281  0.16638362]
 [0.26437834 0.23882622 0.20412411 0.24925715 0.20154768 0.1966228
  0.16682698 0.179255   0.18085437 0.10044761]
 [0.27829584 0.25720942 0.21138394 0.27343702 0.25195712 0.19070165
  0.22607043 0.14209718 0.14361674 0.14667644]
 [0.27768165 0.23455758 0.23022343 0.2815441  0.19396147 0.1784098
  0.2034881  0.21671048 0.2204807  0.        ]
 [0.22696266 0.18181983 0.2887481  0.27045172 0.18030314 0.2698697
  0.24891375 0.21544327 0.1649922  0.        ]
 [0.30015376 0.23084147 0.24264385 0.23844747 0.16150537 0.20063776
  0.13387859 0.17537838 0.15106541 0.        ]
 [0.24590234 0.22116968 0.24005015 0.24045557 0.20160617 0.23138563
  0.20314284 0.18067406 0.         0.        ]
 [0.26010117 0.23811209 0.27292636 0.20015715 0.19868952 0.20633452
  0.1739094  0.15466186 0.         0.        ]
 [0.2592859  0.19737545 0.20860156 0.23082857 0.19752124 0.18429461
  0.17385516 0.         0.         0.        ]
 [0.21820948 0.20856081 0.19514945 0.17149562 0.11201118 0.11226359
  0.17631721 0.         0.         0.        ]
 [0.22968486 0.22155133 0.12597194 0.17897189 0.17194532 0.15068346
  0.         0.         0.         0.        ]
 [0.16722488 0.1660228  0.2050546  0.20135868 0.19996251 0.
  0.         0.         0.         0.        ]
 [0.14218934 0.19072859 0.13289884 0.         0.         0.
  0.         0.         0.         0.        ]]",168.0,33.29944
14,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0. -0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1858.0,402.84723
15,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1360.0,267.04086
16,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1331.0,267.72922
17,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1175.0,281.5721
18,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0. -0. ...  0.  0.  0.]
 [-0.  0.  0. ...  0. -0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",2599.0,591.6251
19,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1470.0,279.9541
20,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1525.0,280.96985
21,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1454.0,266.94452
22,"[[ 0. -0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]]",1466.0,273.03748
